,Month,Year,Location,AQI,Date
0,Jan,2016,"Balanagar, CITD office",163,2016-01-01
1440,Jan,2016,"Sainikpuri, MRO office",63,2016-01-01
1152,Jan,2016,"Kukatpally, JNTU",96,2016-01-01
96,Jan,2016,"Uppal, Modern food Industry, IDA",112,2016-01-01
1056,Jan,2016,"Chikkadapally, Lepakshi Emporium",87,2016-01-01
960,Jan,2016,"MGBS, Bus stand",79,2016-01-01
192,Jan,2016,"Jubilee Hills, Police station",106,2016-01-01
1248,Jan,2016,"Nacharam, Police station",117,2016-01-01
864,Jan,2016,"Madhapur, Shilpa Kalavedika",94,2016-01-01
768,Jan,2016,"Langar House, Police Station",113,2016-01-01
288,Jan,2016,"Paradise, HMWS &SB Pump house",126,2016-01-01
672,Jan,2016,"KBRN Park, DFO office",80,2016-01-01
576,Jan,2016,"Abids, Police station",123,2016-01-01
1632,Jan,2016,"Shameerpet, MRO office",82,2016-01-01
384,Jan,2016,"Charminar, TSRTC bus station",123,2016-01-01
1536,Jan,2016,"Buddha Purnima Project office, Tank Bund",77,2016-01-01
1344,Jan,2016,"Rajendranagar, NG Ranga Agricultural University",85,2016-01-01
480,Jan,2016,"Jeedimetla, Industrial Association building",151,2016-01-01
1249,Feb,2016,"Nacharam, Police station",124,2016-02-01
769,Feb,2016,"Langar House, Police Station",116,2016-02-01
1345,Feb,2016,"Rajendranagar, NG Ranga Agricultural University",87,2016-02-01
1,Feb,2016,"Balanagar, CITD office",176,2016-02-01
1441,Feb,2016,"Sainikpuri, MRO office",75,2016-02-01
385,Feb,2016,"Charminar, TSRTC bus station",119,2016-02-01
289,Feb,2016,"Paradise, HMWS &SB Pump house",130,2016-02-01
1057,Feb,2016,"Chikkadapally, Lepakshi Emporium",81,2016-02-01
481,Feb,2016,"Jeedimetla, Industrial Association building",123,2016-02-01
97,Feb,2016,"Uppal, Modern food Industry, IDA",102,2016-02-01
1153,Feb,2016,"Kukatpally, JNTU",82,2016-02-01
961,Feb,2016,"MGBS, Bus stand",80,2016-02-01
1537,Feb,2016,"Buddha Purnima Project office, Tank Bund",76,2016-02-01
865,Feb,2016,"Madhapur, Shilpa Kalavedika",88,2016-02-01
1633,Feb,2016,"Shameerpet, MRO office",64,2016-02-01
673,Feb,2016,"KBRN Park, DFO office",66,2016-02-01
193,Feb,2016,"Jubilee Hills, Police station",123,2016-02-01
577,Feb,2016,"Abids, Police station",112,2016-02-01
578,Mar,2016,"Abids, Police station",111,2016-03-01
962,Mar,2016,"MGBS, Bus stand",95,2016-03-01
1154,Mar,2016,"Kukatpally, JNTU",78,2016-03-01
98,Mar,2016,"Uppal, Modern food Industry, IDA",94,2016-03-01
1442,Mar,2016,"Sainikpuri, MRO office",67,2016-03-01
1634,Mar,2016,"Shameerpet, MRO office",83,2016-03-01
290,Mar,2016,"Paradise, HMWS &SB Pump house",123,2016-03-01
770,Mar,2016,"Langar House, Police Station",107,2016-03-01
482,Mar,2016,"Jeedimetla, Industrial Association building",122,2016-03-01
1250,Mar,2016,"Nacharam, Police station",120,2016-03-01
1538,Mar,2016,"Buddha Purnima Project office, Tank Bund",70,2016-03-01
386,Mar,2016,"Charminar, TSRTC bus station",105,2016-03-01
2,Mar,2016,"Balanagar, CITD office",116,2016-03-01
866,Mar,2016,"Madhapur, Shilpa Kalavedika",88,2016-03-01
194,Mar,2016,"Jubilee Hills, Police station",106,2016-03-01
674,Mar,2016,"KBRN Park, DFO office",78,2016-03-01
1058,Mar,2016,"Chikkadapally, Lepakshi Emporium",88,2016-03-01
1346,Mar,2016,"Rajendranagar, NG Ranga Agricultural University",85,2016-03-01
1443,Apr,2016,"Sainikpuri, MRO office",71,2016-04-01
1155,Apr,2016,"Kukatpally, JNTU",83,2016-04-01
867,Apr,2016,"Madhapur, Shilpa Kalavedika",82,2016-04-01
1539,Apr,2016,"Buddha Purnima Project office, Tank Bund",52,2016-04-01
483,Apr,2016,"Jeedimetla, Industrial Association building",114,2016-04-01
99,Apr,2016,"Uppal, Modern food Industry, IDA",92,2016-04-01
579,Apr,2016,"Abids, Police station",115,2016-04-01
387,Apr,2016,"Charminar, TSRTC bus station",110,2016-04-01
675,Apr,2016,"KBRN Park, DFO office",64,2016-04-01
1347,Apr,2016,"Rajendranagar, NG Ranga Agricultural University",71,2016-04-01
291,Apr,2016,"Paradise, HMWS &SB Pump house",127,2016-04-01
1059,Apr,2016,"Chikkadapally, Lepakshi Emporium",74,2016-04-01
1251,Apr,2016,"Nacharam, Police station",117,2016-04-01
3,Apr,2016,"Balanagar, CITD office",123,2016-04-01
195,Apr,2016,"Jubilee Hills, Police station",108,2016-04-01
1635,Apr,2016,"Shameerpet, MRO office",78,2016-04-01
771,Apr,2016,"Langar House, Police Station",86,2016-04-01
963,Apr,2016,"MGBS, Bus stand",93,2016-04-01
772,May,2016,"Langar House, Police Station",70,2016-05-01
868,May,2016,"Madhapur, Shilpa Kalavedika",68,2016-05-01
1540,May,2016,"Buddha Purnima Project office, Tank Bund",66,2016-05-01
4,May,2016,"Balanagar, CITD office",108,2016-05-01
484,May,2016,"Jeedimetla, Industrial Association building",107,2016-05-01
1060,May,2016,"Chikkadapally, Lepakshi Emporium",66,2016-05-01
292,May,2016,"Paradise, HMWS &SB Pump house",119,2016-05-01
100,May,2016,"Uppal, Modern food Industry, IDA",86,2016-05-01
580,May,2016,"Abids, Police station",90,2016-05-01
964,May,2016,"MGBS, Bus stand",71,2016-05-01
1636,May,2016,"Shameerpet, MRO office",62,2016-05-01
388,May,2016,"Charminar, TSRTC bus station",98,2016-05-01
676,May,2016,"KBRN Park, DFO office",45,2016-05-01
1444,May,2016,"Sainikpuri, MRO office",65,2016-05-01
1348,May,2016,"Rajendranagar, NG Ranga Agricultural University",78,2016-05-01
1252,May,2016,"Nacharam, Police station",106,2016-05-01
196,May,2016,"Jubilee Hills, Police station",101,2016-05-01
1156,May,2016,"Kukatpally, JNTU",79,2016-05-01
101,Jun,2016,"Uppal, Modern food Industry, IDA",91,2016-06-01
965,Jun,2016,"MGBS, Bus stand",66,2016-06-01
1445,Jun,2016,"Sainikpuri, MRO office",64,2016-06-01
485,Jun,2016,"Jeedimetla, Industrial Association building",92,2016-06-01
677,Jun,2016,"KBRN Park, DFO office",42,2016-06-01
773,Jun,2016,"Langar House, Police Station",69,2016-06-01
869,Jun,2016,"Madhapur, Shilpa Kalavedika",58,2016-06-01
293,Jun,2016,"Paradise, HMWS &SB Pump house",113,2016-06-01
1637,Jun,2016,"Shameerpet, MRO office",77,2016-06-01
1253,Jun,2016,"Nacharam, Police station",100,2016-06-01
1349,Jun,2016,"Rajendranagar, NG Ranga Agricultural University",79,2016-06-01
389,Jun,2016,"Charminar, TSRTC bus station",98,2016-06-01
581,Jun,2016,"Abids, Police station",77,2016-06-01
197,Jun,2016,"Jubilee Hills, Police station",93,2016-06-01
1061,Jun,2016,"Chikkadapally, Lepakshi Emporium",74,2016-06-01
5,Jun,2016,"Balanagar, CITD office",102,2016-06-01
1541,Jun,2016,"Buddha Purnima Project office, Tank Bund",53,2016-06-01
1157,Jun,2016,"Kukatpally, JNTU",79,2016-06-01
1446,Jul,2016,"Sainikpuri, MRO office",71,2016-07-01
774,Jul,2016,"Langar House, Police Station",65,2016-07-01
6,Jul,2016,"Balanagar, CITD office",93,2016-07-01
1638,Jul,2016,"Shameerpet, MRO office",65,2016-07-01
966,Jul,2016,"MGBS, Bus stand",68,2016-07-01
870,Jul,2016,"Madhapur, Shilpa Kalavedika",55,2016-07-01
1062,Jul,2016,"Chikkadapally, Lepakshi Emporium",65,2016-07-01
1542,Jul,2016,"Buddha Purnima Project office, Tank Bund",42,2016-07-01
486,Jul,2016,"Jeedimetla, Industrial Association building",75,2016-07-01
582,Jul,2016,"Abids, Police station",84,2016-07-01
390,Jul,2016,"Charminar, TSRTC bus station",83,2016-07-01
294,Jul,2016,"Paradise, HMWS &SB Pump house",92,2016-07-01
198,Jul,2016,"Jubilee Hills, Police station",76,2016-07-01
1254,Jul,2016,"Nacharam, Police station",94,2016-07-01
1158,Jul,2016,"Kukatpally, JNTU",67,2016-07-01
1350,Jul,2016,"Rajendranagar, NG Ranga Agricultural University",66,2016-07-01
678,Jul,2016,"KBRN Park, DFO office",36,2016-07-01
102,Jul,2016,"Uppal, Modern food Industry, IDA",73,2016-07-01
7,Aug,2016,"Balanagar, CITD office",104,2016-08-01
1063,Aug,2016,"Chikkadapally, Lepakshi Emporium",76,2016-08-01
1351,Aug,2016,"Rajendranagar, NG Ranga Agricultural University",72,2016-08-01
1543,Aug,2016,"Buddha Purnima Project office, Tank Bund",47,2016-08-01
295,Aug,2016,"Paradise, HMWS &SB Pump house",102,2016-08-01
967,Aug,2016,"MGBS, Bus stand",54,2016-08-01
199,Aug,2016,"Jubilee Hills, Police station",78,2016-08-01
