Month,"Balanagar, CITD office","Uppal, Modern food Industry, IDA","Jubilee Hills, Police station","Paradise, HMWS &SB Pump house","Charminar, TSRTC bus station","Jeedimetla, Industrial Association building","Abids, Police station","KBRN Park, DFO office","Langar House, Police Station","Madhapur, Shilpa Kalavedika","MGBS, Bus stand","Chikkadapally, Lepakshi Emporium","Kukatpally, JNTU","Nacharam, Police station","Rajendranagar, NG Ranga Agricultural University","Sainikpuri, MRO office","Buddha Purnima Project office, Tank Bund","Shameerpet, MRO office"
Jan,117,107,95,109,118,127,94,84,95,94,93,92,113,97,84,75,89,100
Feb,128,107,92,115,123,123,103,88,99,105,98,95,111,94,94,75,95,106
Mar,115,85,91,104,117,116,84,86,96,96,93,90,91,90,83,86,74,99
Apr,101,88,86,83,112,116,76,80,84,84,93,89,90,86,75,55,72,105
May,101,79,75,91,111,114,73,58,81,80,71,75,85,75,65,50,66,87
Jun,103,80,73,84,109,107,64,52,78,75,68,78,88,72,63,46,55,87
Jul,61,60,60,57,82,67,55,45,78,54,58,46,48,70,56,42,41,71
Aug,78,62,66,58,85,78,59,68,62,56,60,62,55,70,47,42,59,74
Sep,75,68,62,69,75,78,75,68,81,56,69,79,64,71,57,60,53,75
Oct,87,77,74,86,83,89,75,82,85,81,90,74,90,75,67,55,57,73
Nov,93,86,88,89,100,97,89,79,92,95,83,88,88,89,80,84,92,73
Dec,88,69,82,85,87,84,76,73,78,92,75,79,80,78,63,68,76,74
